Sherman County, Kansas, Average Temperature
200807,77.7,1.5
200808,72.3,-1.5
200809,63.8,-1.8
200810,52.7,0.2
200811,42.8,2.9
200812,27.9,-2.4
200901,32.6,2.3
200902,37.4,5.1
200903,41.1,-0.7
200904,48.0,-1.8
200905,60.1,0.3
200906,68.7,-2.0
200907,73.3,-2.9
200908,71.9,-1.9
200909,62.3,-3.3
200910,43.7,-8.8
200911,43.4,3.5
200912,24.1,-6.2
201001,30.3,0.0
201002,29.1,-3.2
201003,41.6,-0.2
201004,51.3,1.5
201005,56.5,-3.3
201006,72.3,1.6
201007,76.7,0.5
201008,75.7,1.9
201009,67.6,2.0
201010,55.6,3.1
201011,39.4,-0.5
201012,32.6,2.3
201101,28.3,-2.0
201102,28.1,-4.2
201103,40.7,-1.1
201104,50.5,0.7
201105,56.9,-2.9
201106,71.2,0.5
201107,79.6,3.4
201108,77.1,3.3
201109,62.6,-3.0
201110,53.9,1.4
201111,40.3,0.4
201112,29.6,-0.7
201201,34.6,4.3
201202,33.0,0.7
201203,50.5,8.7
201204,55.3,5.5
201205,63.2,3.4
201206,77.0,6.3
201207,80.9,4.7
201208,74.6,0.8
201209,66.0,0.4
201210,50.6,-1.9
201211,44.0,4.1
201212,29.8,-0.5
201301,30.2,-0.1
201302,31.3,-1.0
201303,37.7,-4.1
201304,44.1,-5.7
201305,60.8,1.0
201306,72.6,1.9
201307,75.0,-1.2
201308,75.1,1.3
201309,69.3,3.7
201310,50.7,-1.8
201311,39.6,-0.3
201312,29.2,-1.1
201401,30.4,0.1
201402,25.6,-6.7
201403,40.6,-1.2
201404,50.8,1.0
201405,60.1,0.3
201406,69.4,-1.3
201407,74.7,-1.5
201408,74.8,1.0
201409,66.0,0.4
201410,55.6,3.1
201411,37.6,-2.3
201412,31.0,0.7
201501,31.7,1.4
201502,33.9,1.6
201503,46.0,4.2
201504,52.5,2.7
201505,57.5,-2.3
201506,73.1,2.4
201507,76.1,-0.1
201508,74.3,0.5
201509,71.1,5.5
201510,56.6,4.1
201511,40.1,0.2
201512,33.5,3.2
201601,32.5,2.2
201602,37.7,5.4
201603,45.8,4.0
201604,50.9,1.1
201605,58.0,-1.8
201606,74.4,3.7
201607,77.1,0.9
201608,71.9,-1.9
201609,67.1,1.5
201610,58.2,5.7
201611,46.0,6.1
201612,26.4,-3.9
201701,29.1,-1.2
201702,40.1,7.8
201703,46.0,4.2
201704,51.7,1.9
201705,58.6,-1.2
201706,71.7,1.0
201707,77.1,0.9
201708,70.9,-2.9
201709,65.8,0.2
201710,52.9,0.4
201711,43.5,3.6
201712,30.6,0.3
201801,31.0,0.7
201802,28.9,-3.4
201803,43.8,2.0
201804,45.8,-4.0
201805,65.0,5.2
201806,74.6,3.9
201807,75.8,-0.4
201808,72.0,-1.8
201809,68.2,2.6
201810,48.4,-4.1
201811,37.1,-2.8
201812,32.7,2.4
201901,31.9,1.6
201902,24.9,-7.4
201903,36.0,-5.8
201904,52.2,2.4
201905,54.9,-4.9
201906,68.8,-1.9
201907,77.2,1.0
201908,74.7,0.9
201909,71.5,5.9
201910,46.8,-5.7
201911,39.7,-0.2
