Cheyenne County, Kansas, Precipitation
199602,0.11,-0.36
199603,0.46,-0.40
199604,1.18,-0.62
199605,5.76,3.02
199606,2.30,-0.58
199607,4.19,1.01
199608,3.59,0.81
199609,2.44,0.99
199610,0.10,-1.28
199611,0.15,-0.45
199612,0.06,-0.38
199701,0.16,-0.24
199702,0.76,0.29
199703,0.02,-0.84
199704,0.69,-1.11
199705,1.43,-1.31
199706,2.90,0.02
199707,2.60,-0.58
199708,3.64,0.86
199709,1.62,0.17
199710,2.60,1.22
199711,0.41,-0.19
199712,0.56,0.12
199801,0.11,-0.29
199802,0.81,0.34
199803,0.15,-0.71
199804,1.11,-0.69
199805,2.66,-0.08
199806,0.87,-2.01
199807,6.41,3.23
199808,2.45,-0.33
199809,0.91,-0.54
199810,1.53,0.15
199811,1.60,1.00
199812,0.11,-0.33
199901,0.15,-0.25
199902,0.11,-0.36
199903,0.89,0.03
199904,3.13,1.33
199905,2.19,-0.55
199906,3.84,0.96
199907,1.64,-1.54
199908,5.32,2.54
199909,1.32,-0.13
199910,0.22,-1.16
199911,0.31,-0.29
199912,0.41,-0.03
200001,0.22,-0.18
200002,0.52,0.05
200003,2.30,1.44
200004,1.38,-0.42
200005,0.34,-2.40
200006,2.04,-0.84
200007,2.96,-0.22
200008,1.14,-1.64
200009,1.42,-0.03
200010,3.55,2.17
200011,0.60,0.00
200012,0.08,-0.36
200101,0.85,0.45
200102,0.46,-0.01
200103,0.49,-0.37
200104,1.04,-0.76
200105,3.74,1.00
200106,0.63,-2.25
200107,4.22,1.04
200108,1.26,-1.52
200109,2.09,0.64
200110,0.75,-0.63
200111,1.20,0.60
200112,0.32,-0.12
200201,0.23,-0.17
200202,0.17,-0.30
200203,0.51,-0.35
200204,0.97,-0.83
200205,0.64,-2.10
200206,1.45,-1.43
200207,0.36,-2.82
200208,3.84,1.06
200209,1.05,-0.40
200210,1.57,0.19
200211,0.23,-0.37
200212,0.00,-0.44
200301,0.39,-0.01
200302,0.66,0.19
200303,1.38,0.52
200304,2.43,0.63
200305,1.94,-0.80
200306,3.48,0.60
200307,1.45,-1.73
200308,1.25,-1.53
200309,0.39,-1.06
200310,0.23,-1.15
200311,0.26,-0.34
200312,0.18,-0.26
200401,0.20,-0.20
200402,0.58,0.11
200403,0.71,-0.15
200404,2.84,1.04
200405,1.08,-1.66
200406,2.87,-0.01
200407,4.70,1.52
200408,1.28,-1.50
200409,2.75,1.30
200410,1.21,-0.17
200411,1.55,0.95
200412,0.12,-0.32
200501,0.31,-0.09
200502,0.14,-0.33
200503,0.88,0.02
200504,1.44,-0.36
200505,2.25,-0.49
200506,5.29,2.41
200507,2.54,-0.64
200508,4.22,1.44
200509,0.12,-1.33
200510,3.38,2.00
200511,0.51,-0.09
200512,0.19,-0.25
200601,0.24,-0.16
200602,0.08,-0.39
200603,0.86,0.00
200604,0.48,-1.32
200605,1.31,-1.43
200606,2.91,0.03
200607,2.73,-0.45
200608,2.41,-0.37
200609,2.65,1.20
200610,2.02,0.64
200611,0.05,-0.55
200612,2.28,1.84
200701,0.50,0.10
200702,0.47,0.00
200703,1.51,0.65
200704,2.53,0.73
200705,1.08,-1.66
200706,2.79,-0.09
200707,1.80,-1.38
200708,4.35,1.57
200709,0.99,-0.46
200710,0.50,-0.88
200711,0.18,-0.42
200712,1.19,0.75
200801,0.07,-0.33
200802,0.34,-0.13
200803,0.46,-0.40
200804,1.51,-0.29
200805,1.94,-0.80
200806,1.72,-1.16
200807,3.40,0.22
200808,3.53,0.75
200809,1.51,0.06
200810,3.62,2.24
200811,0.61,0.01
200812,0.13,-0.31
200901,0.15,-0.25
200902,0.60,0.13
200903,0.36,-0.50
200904,2.80,1.00
200905,4.33,1.59
200906,3.69,0.81
200907,3.86,0.68
200908,2.42,-0.36
200909,2.39,0.94
200910,3.43,2.05
200911,0.43,-0.17
200912,0.43,-0.01
201001,0.10,-0.30
201002,0.34,-0.13
201003,1.76,0.90
201004,2.50,0.70
201005,1.99,-0.75
201006,2.81,-0.07
201007,2.34,-0.84
201008,4.44,1.66
201009,0.94,-0.51
201010,0.27,-1.11
201011,0.31,-0.29
201012,0.40,-0.04
201101,0.31,-0.09
201102,0.66,0.19
201103,0.73,-0.13
201104,2.36,0.56
201105,4.50,1.76
201106,3.24,0.36
201107,4.28,1.10
201108,2.65,-0.13
201109,0.98,-0.47
201110,1.46,0.08
201111,0.36,-0.24
201112,0.40,-0.04
201201,0.06,-0.34
201202,0.63,0.16
201203,0.39,-0.47
201204,3.55,1.75
201205,0.87,-1.87
201206,1.21,-1.67
201207,3.50,0.32
201208,0.44,-2.34
201209,1.01,-0.44
201210,0.56,-0.82
201211,0.00,-0.60
201212,0.59,0.15
201301,0.18,-0.22
201302,0.59,0.12
201303,1.18,0.32
201304,0.93,-0.87
201305,2.00,-0.74
201306,1.58,-1.30
201307,1.58,-1.60
201308,1.49,-1.29
201309,3.76,2.31
201310,0.86,-0.52
201311,0.39,-0.21
201312,0.10,-0.34
201401,0.57,0.17
201402,0.51,0.04
201403,0.26,-0.60
201404,0.64,-1.16
201405,2.18,-0.56
201406,5.24,2.36
201407,2.33,-0.85
201408,4.40,1.62
201409,1.74,0.29
201410,0.34,-1.04
201411,0.03,-0.57
201412,1.37,0.93
201501,0.13,-0.27
201502,0.40,-0.07
201503,0.15,-0.71
201504,2.73,0.93
201505,7.75,5.01
201506,2.48,-0.40
201507,2.55,-0.63
201508,0.58,-2.20
201509,1.12,-0.33
201510,1.63,0.25
201511,1.29,0.69
201512,0.21,-0.23
201601,0.02,-0.38
201602,1.17,0.70
201603,0.46,-0.40
201604,5.26,3.46
201605,2.03,-0.71
201606,2.33,-0.55
201607,3.44,0.26
201608,2.16,-0.62
201609,2.30,0.85
201610,0.04,-1.34
201611,0.33,-0.27
201612,0.51,0.07
201701,0.84,0.44
201702,0.05,-0.42
201703,2.49,1.63
201704,1.57,-0.23
201705,4.31,1.57
201706,2.63,-0.25
201707,2.41,-0.77
201708,2.91,0.13
201709,2.54,1.09
201710,0.56,-0.82
201711,0.11,-0.49
201712,0.11,-0.33
201801,0.90,0.50
201802,0.65,0.18
201803,0.82,-0.04
201804,1.31,-0.49
201805,3.56,0.82
201806,4.13,1.25
201807,3.65,0.47
201808,1.44,-1.34
201809,1.14,-0.31
201810,2.93,1.55
201811,0.81,0.21
201812,0.71,0.27
201901,0.23,-0.17
201902,0.27,-0.20
201903,0.94,0.08
201904,0.36,-1.44
201905,3.87,1.13
201906,3.56,0.68
201907,2.11,-1.07
201908,5.32,2.54
201909,0.75,-0.70
201910,0.33,-1.05
201911,0.60,0.00
